cohort	axis	observed_auc	perm_null_p2.5	perm_null_p97.5	perm_p_value	boot_neg_p2.5	boot_neg_p97.5
GSE322563 HM450	V1 final_score	0.8214948307502186	0.1658291929446838	0.8148473900730449	0.021397860213978603	0.8212591479490675	0.8217265426261484
GSE322563 HM450	V2.5 diff	0.9898560198443352	0.3380270228732004	0.7982298510220714	9.999000099990002e-05	0.9897941069680006	0.9899238052157152
GSE322563 HM450	Δβ-only	0.9740153279950675	0.17882748533498166	0.8214205017415024	0.00019998000199980003	0.9739199139327126	0.9741295340415674
GSE322563 native v2	V1 final_score	0.9334775884259535	0.20627702988411928	0.8188831626270072	0.001999800019998	0.9333557806712597	0.9335958548865743
GSE322563 native v2	V2.5 diff	0.9863876484256843	0.3128982161257515	0.811448135961701	9.999000099990002e-05	0.9863335400045316	0.9864457766941631
GSE322563 native v2	Δβ-only	0.9606121321416975	0.17290891530034927	0.8188819502920993	0.0005999400059994001	0.9605245568963767	0.9607169034005802
GSE77348	V1 final_score	0.9675929996279634	0.2608115989495281	0.8214160833880874	0.00029997000299970003	0.9674773394398333	0.9677041296056301
GSE77348	V2.5 diff	0.9824831862077574	0.17600018657755687	0.8214178171723389	9.999000099990002e-05	0.9824004679204053	0.9825696517062339
GSE77348	Δβ-only	0.9721857941101	0.1752661806254196	0.8214159715310388	0.00029997000299970003	0.9720812636982938	0.9722936243048365
