axis	subset	n_total	n_neg	auc	tie_band@20	tie_band@100	tie_band@1000	P@100_observed	P@100_min	P@100_max	ESR1_rank	EGFLAM_rank	GATA3_rank
shipped_v25	wg	19787820	19787817	0.982143	1493	1493	1493	0.0000	0.0000	0.0000	24935	855023	184710
shipped_v25	chr5_6_10	2979997	2979994	0.982483	299	299	1	0.0000	0.0000	0.0000	3965	124925	28325
gap_sigmoid_0.0500	wg	19787820	19787817	0.981897	1	1	1	0.0000	0.0000	0.0000	20778	868197	185697
gap_sigmoid_0.0500	chr5_6_10	2979997	2979994	0.982223	1	1	1	0.0000	0.0000	0.0000	3405	126984	28540
gap_sigmoid_0.0707	wg	19787820	19787817	0.981333	1	1	1	0.0000	0.0000	0.0000	20154	904130	183854
gap_sigmoid_0.0707	chr5_6_10	2979997	2979994	0.981647	1	1	1	0.0000	0.0000	0.0000	3313	132492	28270
gap_sigmoid_0.1000	wg	19787820	19787817	0.978880	1	1	1	0.0000	0.0000	0.0000	19230	1052037	182501
gap_sigmoid_0.1000	chr5_6_10	2979997	2979994	0.979035	1	1	1	0.0000	0.0000	0.0000	3164	156271	27990
