axis	subset	n_total	n_neg	auc	tie_band@20	tie_band@100	tie_band@1000	P@100_observed	P@100_min	P@100_max	ESR1_rank	EGFLAM_rank	GATA3_rank
shipped_v25	wg	35380431	35380428	0.997990	421	421	1	0.0000	0.0000	0.0000	5746	158502	50096
shipped_v25	chr5_6_10	5224082	5224079	0.986388	421	421	1	0.0000	0.0000	0.0000	5746	158502	50096
gap_sigmoid_0.0500	wg	35380431	35380428	0.997953	1	1	1	0.0000	0.0000	0.0000	4189	162568	50487
gap_sigmoid_0.0500	chr5_6_10	5224082	5224079	0.986138	1	1	1	0.0000	0.0000	0.0000	4189	162568	50487
gap_sigmoid_0.0707	wg	35380431	35380428	0.997896	1	1	1	0.0000	0.0000	0.0000	4037	167809	51498
gap_sigmoid_0.0707	chr5_6_10	5224082	5224079	0.985749	1	1	1	0.0000	0.0000	0.0000	4037	167809	51498
gap_sigmoid_0.1000	wg	35380431	35380428	0.997798	1	1	1	0.0000	0.0000	0.0000	3803	176704	53242
gap_sigmoid_0.1000	chr5_6_10	5224082	5224079	0.985085	1	1	1	0.0000	0.0000	0.0000	3803	176704	53242
