axis	subset	n_total	n_neg	auc	tie_band@20	tie_band@100	tie_band@1000	P@100_observed	P@100_min	P@100_max	ESR1_rank	EGFLAM_rank	GATA3_rank
shipped_v25	wg	19787820	19787817	0.777828	1	1	4	0.0000	0.0000	0.0000	514603	9183566	3490723
shipped_v25	chr5_6_10	2979997	2979994	0.772704	1	2	3	0.0000	0.0000	0.0000	87355	1385784	558887
gap_sigmoid_0.0500	wg	19787820	19787817	0.864867	1	11	3	0.0000	0.0000	0.0000	2013439	5020486	988040
gap_sigmoid_0.0500	chr5_6_10	2979997	2979994	0.866945	4	1	5	0.0000	0.0000	0.0000	305875	731805	151827
gap_sigmoid_0.0707	wg	19787820	19787817	0.831130	7	5	1	0.0000	0.0000	0.0000	4289491	4747734	987485
gap_sigmoid_0.0707	chr5_6_10	2979997	2979994	0.836335	4	4	5	0.0000	0.0000	0.0000	621936	689200	152025
gap_sigmoid_0.1000	wg	19787820	19787817	0.821100	1	1	3	0.0000	0.0000	0.0000	4969211	4629763	1021169
gap_sigmoid_0.1000	chr5_6_10	2979997	2979994	0.826395	1	4	1	0.0000	0.0000	0.0000	722336	671618	158067
