cohort	delta	sigma_fixed	auc	tie_band@100
GSE77348	0.20	0.200000	0.957519	1
GSE77348	0.25	0.030000	0.982901	1
GSE77348	0.25	0.050000	0.982515	1
GSE77348	0.25	0.070711	0.982099	1
GSE77348	0.25	0.100000	0.981020	1
GSE77348	0.25	0.150000	0.966843	1
GSE77348	0.25	0.200000	0.958056	1
GSE77348	0.30	0.030000	0.983307	1
GSE77348	0.30	0.050000	0.982967	1
GSE77348	0.30	0.070711	0.982614	1
GSE77348	0.30	0.100000	0.981873	1
GSE77348	0.30	0.150000	0.968370	1
GSE77348	0.30	0.200000	0.960053	1
