axis	subset	n_total	n_neg	auc	tie_band@20	tie_band@100	tie_band@1000	P@100_observed	P@100_min	P@100_max	ESR1_rank	EGFLAM_rank	GATA3_rank
shipped_v25	wg	19787820	19787817	0.777828	1	1	4	0.0000	0.0000	0.0000	514603	9183566	3490723
shipped_v25	chr5_6_10	2979997	2979994	0.772704	1	2	3	0.0000	0.0000	0.0000	87355	1385784	558887
gap_sigmoid_0.0500	wg	19787820	19787817	0.860629	2	4	2	0.0000	0.0000	0.0000	1789652	5338297	1145613
gap_sigmoid_0.0500	chr5_6_10	2979997	2979994	0.862379	4	4	12	0.0000	0.0000	0.0000	271796	782184	176345
gap_sigmoid_0.0707	wg	19787820	19787817	0.862350	5	6	4	0.0000	0.0000	0.0000	2200263	4944861	1026284
gap_sigmoid_0.0707	chr5_6_10	2979997	2979994	0.864203	1	2	10	0.0000	0.0000	0.0000	335427	720295	158303
gap_sigmoid_0.1000	wg	19787820	19787817	0.824799	5	6	10	0.0000	0.0000	0.0000	4666987	4716395	1017158
gap_sigmoid_0.1000	chr5_6_10	2979997	2979994	0.830076	4	1	6	0.0000	0.0000	0.0000	677130	684689	157302
